Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
"Тестирование Б.11.1. Эксплуатация объектов хранения и переработки растительного сырья, в том числе изготовл",Каталог курсов (СДО),,,,,,,,,,,,,11017,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.11.2. Проектирование, строительство, реконструкция, капитальный ремонт, техническое перево",Каталог курсов (СДО),,,,,,,,,,,,,11018,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.12.1. Взрывные работы в подземных выработках и на поверхности рудников (объектах горнорудКурс,Каталог курсов (СДО),,,,,,,,,,,,,11019,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.12.2. Взрывные работы на открытых горных разработках и специальные взрывные работы,Каталог курсов (СДО),,,,,,,,,,,,,11020,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.1. Эксплуатация объектов нефтяной и газовой промышленности,Каталог курсов (СДО),,,,,,,,,,,,,10942,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.10. Подземные хранилища газа,Каталог курсов (СДО),,,,,,,,,,,,,10957,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.2.11. Ремонтные, монтажные и пусконаладочные работы на опасных производственных объектаКурс",Каталог курсов (СДО),,,,,,,,,,,,,10958,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.12. Разработка нефтяных месторождений шахтным способом,Каталог курсов (СДО),,,,,,,,,,,,,10959,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.2. Ремонт нефтяных и газовых скважин,Каталог курсов (СДО),,,,,,,,,,,,,10945,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.2.3. Проектирование, строительство, реконструкция и капитальный ремонт объектов нефтяной",Каталог курсов (СДО),,,,,,,,,,,,,10947,иКурс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.4. Бурение нефтяных и газовых скважин,Каталог курсов (СДО),,,,,,,,,,,,,10950,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.2.5. Промысловые трубопроводы для транспортирования нефти, газа и газового конденсата",Каталог курсов (СДО),,,,,,,,,,,,,10951,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.6. Разведка и разработка морских месторождений углеводородного сырья,Каталог курсов (СДО),,,,,,,,,,,,,10952,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.7. Магистральные нефтепроводы и нефтепродуктопроводы,Каталог курсов (СДО),,,,,,,,,,,,,10953,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.8. Магистральные газопроводы,Каталог курсов (СДО),,,,,,,,,,,,,10954,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.2.9. Магистральные аммиакопроводы,Каталог курсов (СДО),,,,,,,,,,,,,10955,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.1. Литейное производство черных и цветных металлов,Каталог курсов (СДО),,,,,,,,,,,,,10961,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.10. Энергетические службы металлургических предприятий,Каталог курсов (СДО),,,,,,,,,,,,,10972,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.2. Медно-никелевое производство,Каталог курсов (СДО),,,,,,,,,,,,,10962,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.3. Коксохимическое производство,Каталог курсов (СДО),,,,,,,,,,,,,10963,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.4. Производство первичного алюминия,Каталог курсов (СДО),,,,,,,,,,,,,10964,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.3.5. Производство редких, благородных и других цветных металлов",Каталог курсов (СДО),,,,,,,,,,,,,10966,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.6. Доменное и сталеплавильное производство,Каталог курсов (СДО),,,,,,,,,,,,,10967,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.7. Производство ферросплавов,Каталог курсов (СДО),,,,,,,,,,,,,10968,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.3.8. Производство с полным металлургическим циклом,Каталог курсов (СДО),,,,,,,,,,,,,10969,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.3.9. Проектирование, строительство, реконструкция, капитальный ремонт объектов металлурги",Каталог курсов (СДО),,,,,,,,,,,,,10970,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.4.1. Обогащение полезных ископаемых,Каталог курсов (СДО),,,,,,,,,,,,,10974,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.4.2. Проектирование, строительство, реконструкция, капитальный ремонт объектов горной промКурс",Каталог курсов (СДО),,,,,,,,,,,,,10975,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
