Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Адаптивные тесты для РТН,План разработки 2026,актуализация,,ПБ,,,Профтехстандарт,Борисова Надежда,тесты в РТН актуализировались последний раз год назад (по ТЭУ актуализировались 6 месяцев назад),,,март,,,,,,,,,,,,,
Аппаратчик химводоочистки,Каталог курсов (СДО),,,,,,,,,,,,,11207,Целями прNULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~daq1S,,
"Б.1.2, Б.1.7, Б.1.9, Б.1.10, Б.1.12, Б 1.19, Б 7.8, Б 8.1",План разработки 2026,разработка,,ПБ,,,Ефремова Юлия,,,запрос на разработку,,,,,,,,,,,,,,,
"Безопасная эксплуатация складского оборудования (стеллажи, стеллажи полочные, складские мезонины). ГОСТ",Каталог курсов (СДО),,,,,,,,,,,,,11136,NULL NULL 410,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4ERT2,,
"Безопасное ведение газоопасных, огневых и ремонтных работ (область аттестации Б.1.11)",Каталог курсов (СДО),,,,,,,,,,,,,9877,NULL NULL 290,NULL,72,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~IAW52,,
Безопасное обращение с пестицидами и агрохимикатами,Каталог курсов (СДО),,,,,,,,,,,,,11090,Курс пред NULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~LSU8R,,
Безопасное обращение с химическими веществами и материалами,Каталог курсов (СДО),,,,,,,,,,,,,11110,Курс пред NULL 370,NULL,16,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~pzzRI,,
Безопасное производство работ по отбору проб газовоздушной среды,Каталог курсов (СДО),,,,,,,,,,,,,9379,NULL NULL 370,NULL,-,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,,,0
Безопасные методы и приемы выполнения работ для электромонтажника по силовым сетям,Каталог курсов (СДО),,,,,,,,,,,,,9374,NULL NULL 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~NCL0F,,
Безопасные методы и приемы выполнения работ для электромонтера охранно-пожарной сигнализации,Каталог курсов (СДО),,,,,,,,,,,,,9355,NULL NULL 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~d5ake,,
Безопасные методы и приемы выполнения работ изолировщика на термоизоляции,Каталог курсов (СДО),,,,,,,,,,,,,9348,NULL NULL 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~d5ake,,
Безопасные методы и приемы выполнения работ на участках с патогенным заражением почвы,Каталог курсов (СДО),,,,,,,,,,,,,9595,NULL БМиПР на 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,24 ИД46В,19 Безопасны,,16 https://portal.smarta.life/~5plwF,,
"Безопасные методы и приемы выполнения работ, связанные с эксплуатацией сосудов, работающих под избыточNULL",Каталог курсов (СДО),,,,,,,,,,,,,7731,"БМиПВР, с 370",Передача,16,Охрана,труда/Курсы по новому п РОЛ,19 ИД46В,14 Безопасны,,16 https://portal.smarta.life/~n7WBf,,
"Безопасные методы и приемы выполнения работ, связанные с эксплуатацией тепловых энергоустановок",Каталог курсов (СДО),,,,,,,,,,,,,8111,"NULL БМиПВР, с 410",Передача,16,Охрана,труда/Курсы по новому п РОЛ,17 ИД46В,12 Безопасны,,16 https://portal.smarta.life/~REMfD,,
Безопасные методы и приемы работ по перемещению тяжеловесных и крупногабаритных грузов при отсутствии,Каталог курсов (СДО),,,,,,,,,,,,,9112,NULL БМиПР по 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,26 ИД46В,21 Безопасны,,16 https://portal.smarta.life/~a97aF,,
Безопасные методы и приемы работ с радиоактивными веществами и источниками ионизирующих излучений,Каталог курсов (СДО),,,,,,,,,,,,,9110,NULL БМиПР с р 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,27 ИД46В,22 Безопасны,,16 https://portal.smarta.life/~OLMEw,,
"Безопасные методы и приёмы выполнения работ при эксплуатации сосудов, работающих под избыточным давл",Каталог курсов (СДО),,,,,,,,,,,,,9719,NULL Сосуды по 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,19 ИД46В,14 Безопасны,,16 https://portal.smarta.life/~5V5Xo,,
Вводный инструктаж по гражданской обороне,Каталог курсов (СДО),,,,,,,,,,,,,10032,NULL NULL 230,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
Вводный инструктаж по охране труда,Каталог курсов (СДО),,,,,,,,,,,,,8206,NULL NULL 170,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
Вводный инструктаж по пожарной безопасности,Каталог курсов (СДО),,,,,,,,,,,,,9600,NULL NULL 230,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
Гражданская оборона и защита от чрезвычайных ситуаций,Каталог курсов (СДО),,,,,,,,,,,,,2936,Курс пред NULL 160,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4bcTm,,
Дезинфектор,Каталог курсов (СДО),,,,,,,,,,,,,11266,Целями прNULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~vFO5N,,
"Деятельность по монтажу, техническому обслуживанию и ремонту средств обеспечения пожарной безопасностиПовышениNULL",Каталог курсов (СДО),,,,,,,,,,,,,11182,640,,178,Повышение,квалификации нет,NULL NULL,NULL,NULL,,,0
"Дополнительная профессиональная программа повышения квалификации ""Антитеррористическая защищеннос",Каталог курсов (СДО),,,,,,,,,,,,,9859,NULL Антитерро 810,Новинка,24,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~1hPws,,
"Инструктаж ""Электробезопасность 1-я группа""",Каталог курсов (СДО),,,,,,,,,,,,,11197,NULL NULL 230,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
"Интенсив по изучению безопасных методов и приемов выполнения работ при воздействии ВОПФ, ИО, идентифиNULL",Каталог курсов (СДО),,,,,,,,,,,,,8468,NULL 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 4 ИД34,",ИД3 Оказание,"16,","16, 16",,0
Интенсив по изучению общих вопросов охраны труда и функционирования СУОТ,Каталог курсов (СДО),,,,,,,,,,,,,8707,NULL NULL 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,"1, 3 ИД34,",ИД4 Оказание,"16,",16,,0
Контролер технического состояния транспортных средств автомобильного транспорта,Оба файла,актуализация,,БДД,,,"УЦ ""Фелица""",Караченцева М.,,в разработке,,март; май,3995,3995,NULL NULL 3470,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~mj1Ow,,
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения газоопа",Каталог курсов (СДО),,,,,,,,,,,,,8168,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения земляныNULL",Каталог курсов (СДО),,,,,,,,,,,,,8159,NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения огневых",Каталог курсов (СДО),,,,,,,,,,,,,8169,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения пожаро",Каталог курсов (СДО),,,,,,,,,,,,,8163,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ",Каталог курсов (СДО),,,,,,,,,,,,,8158,п NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ",Каталог курсов (СДО),,,,,,,,,,,,,8161,п NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ",Каталог курсов (СДО),,,,,,,,,,,,,8162,наNULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ",Каталог курсов (СДО),,,,,,,,,,,,,8164,в NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ",Каталог курсов (СДО),,,,,,,,,,,,,8172,в NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ,",Каталог курсов (СДО),,,,,,,,,,,,,8166,с NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ,",Каталог курсов (СДО),,,,,,,,,,,,,8170,с NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ,",Каталог курсов (СДО),,,,,,,,,,,,,8171,с NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения работ,",Каталог курсов (СДО),,,,,,,,,,,,,8173,с NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения ремонтнNULL",Каталог курсов (СДО),,,,,,,,,,,,,8160,NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы выполнения строителNULL",Каталог курсов (СДО),,,,,,,,,,,,,8165,NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы обращения с животн",Каталог курсов (СДО),,,,,,,,,,,,,8174,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы при выполнении вод",Каталог курсов (СДО),,,,,,,,,,,,,8175,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ в непосредств",Каталог курсов (СДО),,,,,,,,,,,,,8177,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ в театрах""",Каталог курсов (СДО),,,,,,,,,,,,,8183,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ по валке леса",Каталог курсов (СДО),,,,,,,,,,,,,8179,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ по перемещен",Каталог курсов (СДО),,,,,,,,,,,,,8180,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ по поиску, иде",Каталог курсов (СДО),,,,,,,,,,,,,8176,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ с радиоактивн",Каталог курсов (СДО),,,,,,,,,,,,,8181,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ с ручным инстрNULL",Каталог курсов (СДО),,,,,,,,,,,,,8182,NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Безопасные методы и приемы работ, на участках с",Каталог курсов (СДО),,,,,,,,,,,,,8178,п NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Использование (применение) средств индивидуаль",Каталог курсов (СДО),,,,,,,,,,,,,8156,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Общие вопросы охраны труда и функционирования",Каталог курсов (СДО),,,,,,,,,,,,,8157,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
"Курс подготовки к проверке знаний в ЕИСОТ по программе ""Оказание первой помощи пострадавшим""",Каталог курсов (СДО),,,,,,,,,,,,,8155,NULL NULL 580,NULL,-,Подготовка,к проверке знаний в ЕНет,NULL NULL,NULL,NULL,,,0
курсы 46 Б и В,План разработки 2026,актуализация,,ОТ,,,в связи с изменениями срока действия Правил по,охране труда,,в разработке,Караченцева М.,март,,,,,,,,,,,,,
Машинист автовышки и автогидроподъемника,Оба файла,разработка,,ПП,144,проф. переподготовка,Агроторг,Золотухина Елена,,разработан,Винник Е.,февраль,11438,11438,Целью обуМашинист 640,NULL,72,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~cAHra,,
"Машинист буровой установки ООО ""ВОСТОК НЕДРА""",План разработки 2026,разработка,,,,,,,,запрос на разработку,,,,,,,,,,,,,,,
Машинист подъёмника с рабочей платформы Плоцкая Валерия,План разработки 2026,разработка,,,,,,,,запрос на разработку,,,,,,,,,,,,,,,
Машинист строительного подъемника,Оба файла,разработка,,ПП,144,проф. переподготовка,Агроторг,Золотухина Елена,,разработан,Винник Е.,февраль,11696,11696,Целью обуМашинист 640,NULL,72,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~W6YE2,,
Меры пожарной безопасности для работников добровольных пожарных дружин,Каталог курсов (СДО),,,,,,,,,,,,,11206,Целью обуNULL 290,NULL,72,Повышение,квалификации нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~CDVwT,,
"Монтаж, наладка, обслуживание, ремонт, реконструкция или модернизация подъемных сооружений, применяеNULL",Каталог курсов (СДО),,,,,,,,,,,,,10831,"Монтаж, н 290",NULL,16,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~sKu0x,,
Наладчик станков и манипуляторов с числовым программным управлением,Оба файла,разработка,,ПП,144,проф. переподготовка,Саблина Наталья,Винник Е.,,разработан,,март,11756,11756,Целью обуНаладчик 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~5XdLv,,
"не более 4 кВт""",Каталог курсов (СДО),,,,,,,,,,,,,3082,Учебный к NULL 640,NULL,72,Профессиональное,обучение нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~A7beH,,
Нормы и правила работы в электроустановках,Каталог курсов (СДО),,,,,,,,,,,,,11214,Целью обуNULL 370,NULL,72,Программа,обучения работников нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~1H75k,,
Обеспечение мобилизационной подготовки и воинский учет 72 повышение квалификации АНО ДПО УМЦ «Здоровый труд» Борисова Надежда,План разработки 2026,разработка,,,,,,,,запрос на разработку,,март,,,,,,,,,,,,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,5670,в Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~odjT3,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,5671,в Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~qfSMI,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,5673,в Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~YfuTv,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,5693,в Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~y25ke,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,5694,в Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~n0gA0,,
"Обеспечение пожарной безопасности для лиц, ответственных за проведение противопожарного инструктажа",Каталог курсов (СДО),,,,,,,,,,,,,8043,Программ Пожарная 290,Хит,прода 16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~c0tUs,,
Обеспечение пожарной безопасности для ответственных должностных лиц на автомобильных стоянках организ,Каталог курсов (СДО),,,,,,,,,,,,,5803,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~0r1A8,,
Обеспечение пожарной безопасности для ответственных должностных лиц организации,Каталог курсов (СДО),,,,,,,,,,,,,8042,Программ Пожарная 290,Хит,прода 16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~g4Ivg,,
Обеспечение пожарной безопасности для ответственных должностных лиц организации в зданиях сельскохозяй,Каталог курсов (СДО),,,,,,,,,,,,,5804,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~t7Um2,,
Обеспечение пожарной безопасности для ответственных должностных лиц организации в производственных зд,Каталог курсов (СДО),,,,,,,,,,,,,5796,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~aTX2f,,
"Обеспечение пожарной безопасности для ответственных должностных лиц организации в складских зданиях, со",Каталог курсов (СДО),,,,,,,,,,,,,5802,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~SuWku,,
Обеспечение пожарной безопасности для руководителей и ответственных лиц организации,Каталог курсов (СДО),,,,,,,,,,,,,5252,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~sjXvz,,
"Обеспечение пожарной безопасности для руководителей и ответственных лиц, эксплуатирующих и управляющи",Каталог курсов (СДО),,,,,,,,,,,,,5707,Программ Пожарная 290,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~W85RN,,
"Обеспечение экологической безопасности в области сбора, транспортирования, обработки, утилизации, обезвр",Каталог курсов (СДО),,,,,,,,,,,,,2844,Учебный к NULL 520,NULL,38,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~5Pjxu,,
Обеспечение экологической безопасности руководителями и специалистами общехозяйственных систем управл,Каталог курсов (СДО),,,,,,,,,,,,,2856,Курс разраОбеспечен 520,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~uFW7D,,
Обогащение полезных ископаемых (область аттестации Б.4.1),Каталог курсов (СДО),,,,,,,,,,,,,10932,NULL NULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~kNC5D,,
Оборудование и технология сварочного производства 72 повышение квалификации АНО ДПО УМЦ «Здоровый труд» Борисова Надежда,Оба файла,разработка,,,,,,,,запрос на разработку,,март,,11805,В результа NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/doc/KLivrFy1dLIUTNdgF8oh,,
Образовательные программы по новому Порядку,Каталог курсов (СДО),,,,,,,,,,,,,7143,NULL NULL,0 NULL,-,,нет,NULL NULL,NULL,NULL,,,#Н/Д
Обучение безопасным методам и приемам выполнения газоопасных работ,Каталог курсов (СДО),,,,,,,,,,,,,7330,NULL БМиПВ газ 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,14 ИД46В,9 Безопасны,,16 https://portal.smarta.life/~1R9Vh,,
Обучение безопасным методам и приемам выполнения земляных работ,Каталог курсов (СДО),,,,,,,,,,,,,7509,NULL БМиПВ зе 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,6 ИД46В,1 Безопасны,,16 https://portal.smarta.life/~ltUro,,
Обучение безопасным методам и приемам выполнения огневых работ,Каталог курсов (СДО),,,,,,,,,,,,,7331,NULL БМиПВ ог 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,15 ИД46В,10 Безопасны,,16 https://portal.smarta.life/~Q2xTo,,
Обучение безопасным методам и приемам выполнения погрузочно-разгрузочных работ и размещении грузов,Каталог курсов (СДО),,,,,,,,,,,,,7486,NULL БВ погрузо 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,16 ИД46В,11 Безопасны,,16 https://portal.smarta.life/~jU815,,
Обучение безопасным методам и приемам выполнения пожароопасных работ,Каталог курсов (СДО),,,,,,,,,,,,,8110,NULL БМиПВ по 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,10 ИД46В,5 Безопасны,,16 https://portal.smarta.life/~31z6r,,
Обучение безопасным методам и приемам выполнения работ в непосредственной близости от полотна или про,Каталог курсов (СДО),,,,,,,,,,,,,7898,NULL БМиПР в н 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,23 ИД46В,18 Безопасны,,16 https://portal.smarta.life/~JIClg,,
Обучение безопасным методам и приемам выполнения работ в электроустановках,Каталог курсов (СДО),,,,,,,,,,,,,8112,NULL БМиПВР в 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,18 ИД46В,13 Безопасны,,16 https://portal.smarta.life/~S2SsX,,
Обучение безопасным методам и приемам выполнения работ вблизи вращающихся механизмов и движущихся,Каталог курсов (СДО),,,,,,,,,,,,,7459,NULL БМиПВР в 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~7A6gl,,
Обучение безопасным методам и приемам выполнения работ на высоте,Каталог курсов (СДО),,,,,,,,,,,,,7808,Учебный к NULL 320,Передача,40,Охрана,труда/Курсы по новому п РОЛ,9 ИД46В,4 Безопасны,,40 https://portal.smarta.life/~W72Nl,,
Обучение безопасным методам и приемам выполнения работ по валке леса в особо опасных условиях,Каталог курсов (СДО),,,,,,,,,,,,,9813,NULL БМиПР по 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,25 ИД46В,20 Безопасны,,16 https://portal.smarta.life/~RbBNq,,
"Обучение безопасным методам и приемам выполнения работ по хлорированию водопроводных сетей, резерву",Каталог курсов (СДО),,,,,,,,,,,,,7730,NULL Безопасно 370,NULL,16,Охрана,труда/Курсы по новому п ФРДО,NULL NULL,NULL,NULL,,,0
Обучение безопасным методам и приемам выполнения работ повышенной опасности в театрах,Каталог курсов (СДО),,,,,,,,,,,,,10005,NULL БМиПР в т 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,29 ИД46В,24 Безопасны,,16 https://portal.smarta.life/~uV5LI,,
Обучение безопасным методам и приемам выполнения работ при воздействии вредных и (или) опасных произв,Каталог курсов (СДО),,,,,,,,,,,,,6847,NULL БМПВР пр 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 4 ИД34,",ИД3 Оказание,"16,","16, 16 https://portal.smarta.life/~Dt09G",,
Обучение безопасным методам и приемам выполнения работ при воздействии вредных и (или) опасных произв,Каталог курсов (СДО),,,,,,,,,,,,,7925,NULL БМПВР пр 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 4 ИД34,",ИД3 Оказание,"16,","16, 16",,0
"Обучение безопасным методам и приемам выполнения работ при размещении, монтаже, техническом обслужиNULL",Каталог курсов (СДО),,,,,,,,,,,,,7332,БМиПВР п 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,8 ИД46В,3 Безопасны,,16 https://portal.smarta.life/~JKJX8,,
Обучение безопасным методам и приемам выполнения работ с поверхности льда и над открытой водной поверNULL,Каталог курсов (СДО),,,,,,,,,,,,,8784,NULL 370,NULL,16,Охрана,труда/Курсы по новому п ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~xGiQ6,,
"Обучение безопасным методам и приемам выполнения работ с ручным инструментом, в том числе с пиротехни",Каталог курсов (СДО),,,,,,,,,,,,,8422,NULL БМиПР с р 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,28 ИД46В,23 Безопасны,,16 https://portal.smarta.life/~OOE6J,,
Обучение безопасным методам и приемам выполнения работ с трубопроводами пара и горячей воды,Каталог курсов (СДО),,,,,,,,,,,,,7500,NULL БМиПВР с 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,19 ИД46В,14 Безопасны,,16 https://portal.smarta.life/~E8QvB,,
"Обучение безопасным методам и приемам выполнения работ, связанных с опасностью воздействия сильнодейс",Каталог курсов (СДО),,,,,,,,,,,,,7638,"NULL БМиПВР, с 370",Передача,16,Охрана,труда/Курсы по новому п РОЛ,13 ИД46В,8 Безопасны,,16 https://portal.smarta.life/~iTrwN,,
"Обучение безопасным методам и приемам выполнения работ, связанных с эксплуатацией подъемных сооруженNULL",Каталог курсов (СДО),,,,,,,,,,,,,8794,"БМиПВР, с 370",Передача,16,Охрана,труда/Курсы по новому п РОЛ,16 ИД46В,11 Безопасны,,16 https://portal.smarta.life/~pACv0,,
"Обучение безопасным методам и приемам выполнения ремонтных, монтажных и демонтажных работ зданий",Каталог курсов (СДО),,,,,,,,,,,,,8295,и NULL БМиПВ ре 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,7 ИД46В,2 Безопасны,,16 https://portal.smarta.life/~rfPC5,,
